I0,PA500,HFS,DA,Area,A/DA,Max_IP,DR,P,class
160.3224525104,0.1769763862,0.16336281800000002,37.2171240005,341.8814622363,9.1861333034,30.8891639709,20.759910398,187.5665182431,fad
301.3043992291,0.10978121,0.0356047167,64.6161999261,942.7731906338,14.590353374400001,29.0456771851,57.7200304355,335.7684587866,fad
155.0,0.1727875959,0.11868238910000001,38.940168406,415.1116010235,10.6602415453,25.8365020752,29.134376179,184.8170409368,fad
144.0,0.1206022513,0.046076692300000006,19.6476695229,70.4262388067,3.5844576236,18.1310138702,7.569493117,160.3737702928,fad
178.0,0.17086773379999998,0.2129301687,41.5421667585,489.4405204763,11.7817764134,35.747795105,21.1623933118,215.9059341715,mas
195.0,0.1391027414,0.20525072,37.4621956231,328.384051619,8.765744937200001,35.0238265991,13.294650258699999,232.5876276733,mas
435.09316664809995,0.07696902,0.16126842289999999,123.5975375889,1342.2776475808,10.8600678765,37.3847236633,117.8080379332,433.20232214339995,mas
250.0,0.047123889800000006,0.013962634,70.9070400207,224.1457873421,3.1611217627999997,9.1021757126,70.32040044899999,232.27762881849998,mas
339.5085476096,0.04537856059999999,0.0300196631,88.62980942620001,331.08039043770003,3.7355421678,19.8255805969,87.6211804354,307.7931936632,mas
236.0,0.1246165086,0.20176006149999998,48.451129628500006,236.8801114611,4.8890523973,36.0066223145,32.4196702591,244.9651545602,mas
481.4671493322,0.0785398163,0.0160570291,79.0591615565,1154.3382385593,14.600942077200001,33.9291305542,71.408439192,501.8933575844,mas
252.0,0.10611601849999999,0.0314159265,38.5442095271,493.79042291540003,12.8110143903,25.541145324699997,28.867039658899998,280.65829935,mas
172.5157972533,0.1272345025,0.038397243500000004,37.5436732244,192.21814788540001,5.1198545954000005,19.3220806122,32.1898208105,174.9337699538,mas
121.0,0.1741838593,0.09075712109999999,24.437180408099998,144.4665132032,5.911750487999999,22.0210800171,10.5947082078,141.7661848939,mas
196.36486432270002,0.1829105056,0.142418867,54.583080277,843.2625274855001,15.4491560976,34.1494140625,42.5808653465,239.944072785,mas
370.39572469089995,0.10471975509999999,0.0,115.92325311569999,1308.1204304417,11.284366124000002,31.367031097399998,112.715101601,365.9776512618,mas
260.2775210255,0.07906341509999999,0.032812189900000004,58.81761140770001,277.2590342852,4.7138778276,17.8686695099,56.037684022700006,248.6234122408,mas
544.6543494729,0.06370451769999999,0.0020943951000000002,100.78808024930001,1189.290233286,11.7999095761,29.412221908600003,96.5801499813,553.3582098767,mas
310.0,0.1747074581,0.1654572131,98.5099614229,2741.0320443757,27.8249225234,49.327861785900005,85.27000983800001,388.9778083603,mas
274.99339586,0.1471312559,0.1375319451,66.4579430417,1217.4156510031,18.3185875951,40.8496780396,52.4210077296,327.5586387041,mas
281.3232629077,0.2323033234,0.4377285764,157.8841811867,5305.1232060811,33.6013599729,46.3843345642,150.9168917359,398.8955488424,mas
327.0,0.1410226036,0.0844739358,76.2128681277,1664.6740761276,21.8424278868,43.2216911316,62.7717028567,379.261838625,mas
470.51642013660006,0.12740903539999998,0.0663225116,150.2240222783,2657.9103674885,17.6929783079,47.5606307983,142.4964679752,491.4724884651,gla
223.0,0.1240929098,0.0795870139,33.096334978099996,197.0125405291,5.9526996163999994,30.454874038699998,12.956389661400001,252.4833478365,gla
152.0,0.1658062789,0.22759093449999998,34.2195504039,94.354327958,2.7573222571,31.2792778015,13.8774777297,180.6095533186,gla
303.0,0.0633554518,0.0397935069,22.5678927048,102.50030898969999,4.5418644235,21.8308410645,5.7205006289,321.646837362,gla
250.0,0.0870919297,0.0928515162,29.637510285599998,180.7612437575,6.099069794199999,26.142097473099998,13.963263231900001,280.1229064263,gla
197.0,0.1326450232,0.0740019603,33.460652967600005,409.6471412714,12.2426523376,26.992807388299997,19.7738131904,231.7837876143,gla
197.0,0.1326450232,0.0740019603,33.460652967600005,409.6471412714,12.2426523376,26.992807388299997,19.7738131904,231.7837876143,gla
216.41325729419998,0.11780972449999999,0.0684169067,53.5996000209,280.4454864735,5.2322309563,22.790534973099998,48.5129740146,215.37292006939998,gla
178.0,0.1495747169,0.0991347015,40.2906209757,474.4046992996,11.7745690637,25.9208278656,30.845499265700003,209.18073791310002,gla
185.0,0.1497492498,0.0851720675,39.891409224499995,361.747980316,9.0683178997,26.8607616425,29.492779540300003,210.1787188199,gla
391.0,0.058119464100000004,0.0111701072,35.7800613436,265.1497896321,7.4105459766,22.1314716339,28.1142444882,400.99481782559997,gla
502.0,0.065275314,0.027925268,53.2394329932,834.2727305445,15.6702031491,33.331142425500005,41.5147222365,544.0394144713,gla
176.0,0.0898844565,0.0767944871,20.5885241068,79.7054245831,3.8713520294,18.2264919281,9.5750878548,191.99287851169998,gla
145.0,0.11763519160000001,0.11030480869999999,21.218942128800002,82.45556156479999,3.8859412058999996,20.3030815125,6.1667151899,162.5109272172,gla
124.1287282354,0.1319468915,0.10890854529999999,20.5926329443,78.3427938378,3.8044087927,18.4623985291,9.1212056109,134.89269698290002,gla
103.0,0.15812683019999998,0.2918190509,23.754811344,78.2584737249,3.2944262361,22.3236026764,8.1208260291,124.97856100530001,gla
1724.0898944486999,0.0527089434,-0.020943951000000002,404.12620831879997,3053.9668898369,7.5569632134,71.4275894165,399.1942440827,1489.3867124079002,con
1385.6647213356,0.0923279174,0.08936085769999999,202.480043717,8785.0287327512,43.387133721800005,143.0921936035,143.2577800188,1524.6092039901,con
1084.2470372215,0.0734783615,0.0,191.89795323270002,2937.9715445225,15.310072332899999,66.5636291504,179.9836313497,1064.1038276399001,con
649.3693973479,0.10751228189999999,0.018849555900000002,207.1116914337,3344.432677502,16.1479666085,50.5474700928,200.848714465,623.9088141112001,con
1500.0,0.0565486678,0.0502654825,375.0966032873,4759.4545463877,12.6886100932,78.44597625729999,366.8019778992,1336.1585337698,con
770.0,0.0416283304,0.0024345501,175.0196843412,346.09131146769994,1.9774422104,25.2223300934,173.1927365629,654.7984187661,con
650.0,0.0410152374,0.1452113938,216.8113304443,427.5340678903,1.9719175516,33.7651634216,214.1659795454,528.6992332511,con
691.9720314285,0.026005405899999997,0.0865683309,190.6766918987,304.2707181313,1.5957415408000002,23.975717544600002,189.16333090240002,594.3156255552,con
1461.7503424331,0.040840704500000005,0.0495673508,391.8460234008,5574.0028199661,14.2249824857,57.2314796448,387.6439908583,1428.8399755134,con
1496.7360544463002,0.1038470905,0.0823795407,640.2759503982,11071.9977976663,17.292540491,108.2869186401,631.052482108,1178.2742775089998,con
1111.8140678207,0.0987856357,0.0712094335,386.9870937242,7659.7421335884,19.7932754291,86.0251235962,377.3045041864,990.978913442,con
1270.6667173341,0.0788888822,0.0656243799,555.3523181508999,3612.9683325109004,6.5057229698,68.7816696167,551.0764734023,895.1874406109,con
1647.9398111586,0.0809832773,0.0865683309,576.7703763685,11852.4850634255,20.5497465699,111.4359130859,565.9029104183,1402.8777374758,con
1535.8507395877,0.0884881931,0.0041887902000000005,637.3496743713999,10814.0501683075,16.9672169033,96.6103973389,632.1651151578,1197.7621500369,con
2100.0,0.0619591884,-0.04537856059999999,390.4825067441,16640.7236193443,42.6157979729,125.9004135132,380.644703446,2073.0286853636,adi
1800.0,0.034208453300000004,0.0425860337,301.06035089889997,4406.1543313109005,14.6354520552,67.625328064,293.3669201065,1742.3757016885997,adi
2100.0,0.12164944890000001,0.3776892501,450.5516668163,35671.6062867034,79.1731757176,436.0996398926,113.19857011209999,2461.4504966686,adi
1666.1487855641,0.0123918377,0.0584514737,72.93105029430001,1402.2316649584,19.2268129871,51.8547668457,58.595762951000005,1746.5775035735,adi
1700.0,0.0439822972,0.10512680140000001,120.6530096363,12331.103094374099,102.2030294275,120.2973175049,-9.2576964639,2212.1781964657002,adi
1949.1181546753,0.0517983105,0.016500689,170.3314948528,3212.0770546743,18.8577987732,101.4558486938,136.8193285925,1941.3673831863,adi
1850.0,0.0791491625,0.0694701804,253.62145506060003,13113.203094839198,51.7038398494,160.0654602051,196.7304979641,1916.9853650897,adi
2350.0,0.0815068761,0.2715732316,515.2894771025,27758.6402610935,53.8699924889,289.5690612793,426.2311599176,2457.6767356259,adi
1800.0,0.09197885160000001,0.20525072,362.86332129910005,15021.553888328799,41.397278277,217.8339691162,290.2036402901,1893.6637123932999,adi
1900.0,0.054454272699999993,0.1137954672,272.6180288705,7481.5934698544,27.4435021809,138.3592681885,234.8984958066,1924.5178953496,adi
1800.0,0.0691150384,0.1570796327,385.564704349,13831.724888770701,35.8739395301,157.5700073242,351.8974774277,1823.0323641657,adi
1850.0,0.07330382860000001,0.2254965394,325.1915422642,8644.9842366383,26.5842837623,208.7399749756,249.35348625950002,1908.177238665,adi
1650.0,0.0476474886,0.0432841654,274.4261774962,5824.895191578101,21.2257272419,81.23957061770001,262.1256558773,1603.0703476207,adi
2800.0,0.0830776724,0.18430676899999998,583.2592574834,31388.6528822211,53.8159531623,298.5829772949,501.0384943822,2896.5824833035,adi
2329.8401379049,0.0661479787,0.3532546406,377.25336779779997,25369.039924638197,67.2466890693,336.0751647949,171.3872267703,2686.4353462708,adi
2400.0,0.0841248699,0.2206096175,596.0419555114,37939.2555708483,63.651988287100004,261.3481750488,535.6894085687001,2447.7723534764,adi
2000.0,0.0671951762,0.1242674427,330.2716456314,15381.0976865603,46.571051103,169.1979827881,283.639564377,2063.0732120677,adi
2000.0,0.10698868310000001,0.1054178868,520.2226492052,40087.9209837665,77.0591611976,204.09034729,478.5172231615,2088.6488701693,adi
2600.0,0.2005383311,0.2080432468,1063.4414274728,174480.476217939,164.0715433031,418.68728637699996,977.5523672434,2664.5836230562,adi
1600.0,0.0719075652,-0.0663225116,436.9436030304,12655.342134563998,28.9633308436,103.7327041626,432.12974894660005,1475.3715337125,adi
2300.0,0.0450294947,0.1368338134,185.4460437168,5086.2924971704,27.4273443382,178.6917419434,49.59329022399999,2480.5921511320003,adi
2600.0,0.069987703,0.0488692191,745.4743691927,39845.7736975332,53.4502262508,154.1226043701,729.3683950428999,2545.4197444546,adi
